0	0.601652	-nan	47	-nan	-nan	nan	-1	-1	2
1061	0.601652	55.4039	47	1.17881	0.0311295	0.0275091	-1	-1	3
1062	0.601652	50.9063	47	1.08311	0.020838	0.0270204	-1	-1	3
1065	0.601652	39.7453	47	0.845645	0.0395567	0.0277164	-1	-1	3
1072	0.601652	48.1536	47	1.02454	-0.0613834	0.0245122	-1	-1	3
1076	0.601652	61.8877	47	1.31676	0.0219989	0.0271457	-1	-1	3
1085	0.601652	51.8068	47	1.10227	-0.0661383	0.0242156	-1	-1	3
1093	0.601652	65.3476	47	1.39037	-0.068573	0.0241686	-1	-1	3
1107	0.601652	44.1235	47	0.938799	0.0505027	0.0281176	-1	-1	3
1138	0.601652	51.2643	47	1.09073	-0.0172613	0.0258836	-1	-1	3
1141	0.601652	36.5337	47	0.777314	-0.046597	0.0249059	-1	-1	3
1143	0.601652	45.549	47	0.969128	-0.0161755	0.0258681	-1	-1	3
1149	0.601652	51.6025	47	1.09793	0.00228847	0.0265075	-1	-1	3
1155	0.601652	51.9972	47	1.10632	-0.0525321	0.0246988	-1	-1	3
1158	0.601652	40.1824	47	0.854944	-0.038589	0.0251666	-1	-1	3
1167	0.601652	50.0889	47	1.06572	-0.0224153	0.0256832	-1	-1	3
1172	0.601652	55.8261	47	1.18779	-0.0199796	0.0256891	-1	-1	3
1177	0.601652	56.6367	47	1.20504	0.0763667	0.0289734	-1	-1	3
1181	0.601652	44.8434	47	0.954114	0.0595349	0.0284268	-1	-1	3
1186	0.601652	45.0295	47	0.958074	0.0268085	0.0273212	-1	-1	3
1199	0.601652	40.0807	47	0.852781	0.0125883	0.0268506	-1	-1	3
1222	0.601652	41.4129	47	0.881125	0.00196353	0.0264143	-1	-1	3
1227	0.601652	35.1239	47	0.747317	-0.0459798	0.0249148	-1	-1	3
1228	0.601652	46.9649	47	0.999254	0.00184911	0.0263437	-1	-1	3
1231	0.601652	30.3032	47	0.644749	-0.0292366	0.0254519	-1	-1	3
1234	0.601652	57.7056	47	1.22778	-0.035266	0.0252603	-1	-1	3
1236	0.601652	49.9464	47	1.06269	-0.0646755	0.0243281	-1	-1	3
1239	0.601652	44.8702	47	0.954685	-0.014401	0.0259496	-1	-1	3
1244	0.601652	37.1538	47	0.790507	-0.0276051	0.0254678	-1	-1	3
1256	0.601652	41.6891	47	0.887002	0.0652388	0.0286296	-1	-1	3
1265	0.601652	45.3281	47	0.964427	0.0401362	0.0277976	-1	-1	3
1278	0.601652	50.4442	47	1.07328	0.00846809	0.0266638	-1	-1	3
1282	0.601652	49.2381	47	1.04762	0.0379841	0.0275877	-1	-1	3
1288	0.601652	37.4192	47	0.796154	0.0139097	0.0268073	-1	-1	3
1289	0.601652	43.1044	47	0.917115	0.0340126	0.0275304	-1	-1	3
1290	0.601652	34.5884	47	0.735923	0.00253061	0.026475	-1	-1	3
1298	0.601652	28.4947	47	0.60627	0.0020144	0.0264721	-1	-1	3
1301	0.601652	47.2502	47	1.00532	-0.0198837	0.0257873	-1	-1	3
